mouse,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
8.0,6,0.0,-4.740279060567791,-32.19073612561006,0.11178308770258621,0.16982575815086204
8.0,7,0.0,-4.737344535295738,-31.453824559969664,0.11186518857333336,0.17140109504444437
8.0,8,0.0,-4.787237961287417,-32.864061303573855,0.11048255654424778,0.1684294509424778
8.0,9,0.0,-4.871391767773771,-34.63011038349282,0.10821283071555558,0.16494828354222213
8.0,10,0.0,-4.847965412069581,-34.369753435897124,0.10883696865044246,0.16544583475221225
8.0,11,0.0,-4.877020041853359,-34.96343118182095,0.10806374932743361,0.164318820477876
9.0,1,0.0,-4.488958031639396,-35.71202529298177,0.11918871743069306,0.16293500625742566
9.0,2,0.0,-4.460162755206308,-35.20943583327339,0.12008824484390244,0.16385956708292673
9.0,3,0.0,-4.460602674665201,-35.53754780329068,0.12007441904901967,0.16325391657843127
9.0,4,0.0,-4.389031665108508,-33.34609058773936,0.12235842100990105,0.16745397870792073
9.0,5,0.0,-4.450095788398556,-35.08288323024946,0.12040534118536587,0.1640952634390244
9.0,6,0.0,-4.440082709499,-35.53033481900233,0.12072209825438601,0.16326714724999994
9.0,7,0.0,-4.439486525455616,-36.41198142795034,0.12074100103809526,0.16167704487142856
9.0,8,0.0,-4.471564774239695,-36.38689980550064,0.11973073932367148,0.16172154017391302
9.0,9,0.0,-4.468095055517016,-36.72516716246433,0.11983934679807695,0.16112500612980768
9.0,10,0.0,-4.485716419370178,-35.95411882237603,0.1192894309569378,0.1624960721483253
9.0,11,0.0,-4.503563421414045,-37.78899781193895,0.1187366599859155,0.159297597028169
10.0,1,0.0,-5.358905361253047,-41.339717362350456,0.09644102110270267,0.1536811358
10.0,2,0.0,-5.388108487997486,-42.40166859718982,0.0958028099405405,0.1521301592540541
10.0,3,0.0,-5.414858065797135,-43.281408331062465,0.0952242463473684,0.15088564708947366
10.0,4,0.0,-5.4598157401583896,-44.7659540829641,0.09426462221761658,0.1488633735233161
10.0,5,0.0,-5.442374085739241,-44.307510356067716,0.094635033215,0.14947780093000002
10.0,6,0.0,-5.446681439959995,-43.83671103749226,0.09454333662910801,0.15011806125821595
10.0,7,0.0,-5.388428320791394,-42.6765252201082,0.095795858445,0.15173750796999996
10.0,8,0.0,-5.372171305540935,-43.59479080069632,0.09615024678756476,0.1504507916062176
10.0,9,0.0,-5.371252453795625,-44.659120784986925,0.09617034081151828,0.14900577185340314
10.0,10,0.0,-5.355772261982802,-42.978538229210535,0.09650990463440857,0.15131009687634406
10.0,11,0.0,-5.390990300015222,-43.073234564607766,0.09574020409139784,0.15117694116129032
11.0,1,0.0,-5.936075789539467,-39.50474261346817,0.08499673958048787,0.1564960844878049
11.0,2,0.0,-5.965082295660775,-39.533444193857726,0.08448071365609763,0.15645066306829278
11.0,3,0.0,-5.971453731065559,-39.171571358993404,0.08436805065036683,0.15702671959902212
11.0,4,0.0,-6.032987662047996,-40.323953361595834,0.08329247904914013,0.15521738180098288
11.0,5,0.0,-6.064845592260751,-40.756416364176445,0.08274438822549025,0.1545568193063726
11.0,6,0.0,-6.077042439840161,-40.57845965408994,0.08253610777803211,0.1548274529656751
11.0,7,0.0,-6.0634479894021,-41.15358938866564,0.08276830928850863,0.15395868597310516
11.0,8,0.0,-5.9842571058039375,-40.06251997643449,0.08414239503178494,0.15562150124449886
11.0,9,0.0,-5.9364943586763665,-40.20030920701659,0.08498925667401966,0.1554080536593138
11.0,10,0.0,-5.976857310436127,-41.018826739826395,0.08427269385121959,0.1541607327097561
11.0,11,0.0,-6.0120639111178,-42.74102536648402,0.08365568830000006,0.15164587431463417
