minute_net_1_scores,minute_net_2_scores,minute_time,minute_mouse,minute_flx,minute_expDate
0.08882372,0.12748903,1680,Mouse78745,0.0,040623
0.09249284,0.13248594,1740,Mouse78745,0.0,040623
0.08641712,0.12633868,1800,Mouse78745,0.0,040623
0.08856703,0.12969632,1860,Mouse78745,0.0,040623
0.08596317,0.12648009,1920,Mouse78745,0.0,040623
0.081805855,0.12702371,1980,Mouse78745,0.0,040623
0.08472728,0.124729976,2040,Mouse78745,0.0,040623
0.08116328,0.12412276,2100,Mouse78745,0.0,040623
0.08606581,0.12242506,2160,Mouse78745,0.0,040623
0.088258885,0.13085395,2220,Mouse78745,0.0,040623
0.087689705,0.13052978,2280,Mouse78745,0.0,040623
0.08502857,0.11673447,2340,Mouse78745,0.0,040623
0.087358356,0.12378749,2400,Mouse78745,0.0,040623
0.08567068,0.12512287,2460,Mouse78745,0.0,040623
0.0818628,0.12216078,2520,Mouse78745,0.0,040623
0.07841317,0.13773751,2580,Mouse78745,0.0,040623
0.08650457,0.1404755,2640,Mouse78745,0.0,040623
0.09035396,0.12853251,2700,Mouse78745,0.0,040623
0.08746198,0.12113448,2760,Mouse78745,0.0,040623
0.0858459,0.12653951,2820,Mouse78745,0.0,040623
0.08556506,0.13450766,2880,Mouse78745,0.0,040623
0.08304512,0.13961722,2940,Mouse78745,0.0,040623
0.08131521,0.13325267,3000,Mouse78745,0.0,040623
0.0802116,0.1372225,3060,Mouse78745,0.0,040623
0.08160749,0.13770995,3120,Mouse78745,0.0,040623
0.08749885,0.1470309,3180,Mouse78745,0.0,040623
0.07847411,0.13801965,3240,Mouse78745,0.0,040623
0.077915125,0.11360393,3300,Mouse78745,0.0,040623
0.08353538,0.12356109,3360,Mouse78745,0.0,040623
0.08158468,0.12546308,3420,Mouse78745,0.0,040623
0.0838914,0.12572931,3480,Mouse78745,0.0,040623
0.088555746,0.134911,3540,Mouse78745,0.0,040623
0.09221016,0.1516194,0,Mouse78745,1.0,040623
0.10172737,0.14479181,60,Mouse78745,1.0,040623
0.09988222,0.14822143,120,Mouse78745,1.0,040623
0.10029413,0.14642005,180,Mouse78745,1.0,040623
0.09638501,0.15743889,240,Mouse78745,1.0,040623
0.10528843,0.15333796,300,Mouse78745,1.0,040623
0.09371153,0.13934678,360,Mouse78745,1.0,040623
0.089988455,0.1464416,420,Mouse78745,1.0,040623
0.09476654,0.15275784,480,Mouse78745,1.0,040623
0.09562426,0.14946938,540,Mouse78745,1.0,040623
0.1038005,0.16348098,600,Mouse78745,1.0,040623
0.09451916,0.1487866,660,Mouse78745,1.0,040623
0.09959664,0.15897408,720,Mouse78745,1.0,040623
0.09765513,0.1521539,780,Mouse78745,1.0,040623
0.09847283,0.1431681,840,Mouse78745,1.0,040623
0.10034753,0.1559159,900,Mouse78745,1.0,040623
0.09501209,0.1458092,960,Mouse78745,1.0,040623
0.097464204,0.15908891,1020,Mouse78745,1.0,040623
0.10523883,0.15608981,1080,Mouse78745,1.0,040623
0.0988412,0.15077068,1140,Mouse78745,1.0,040623
0.0894852,0.15182297,1200,Mouse78745,1.0,040623
0.0903547,0.1467695,1260,Mouse78745,1.0,040623
0.09555352,0.14726909,1320,Mouse78745,1.0,040623
0.1043886,0.16412921,1380,Mouse78745,1.0,040623
0.09853861,0.15585743,1440,Mouse78745,1.0,040623
0.100836,0.15594612,1500,Mouse78745,1.0,040623
0.099070415,0.14874975,1560,Mouse78745,1.0,040623
0.09291664,0.14738119,1620,Mouse78745,1.0,040623
0.099302895,0.15306877,1680,Mouse78745,1.0,040623
0.099902205,0.15493758,1740,Mouse78745,1.0,040623
0.09862787,0.15417632,1800,Mouse78745,1.0,040623
0.100111425,0.15692103,1860,Mouse78745,1.0,040623
0.09907046,0.14990908,1920,Mouse78745,1.0,040623
0.097633876,0.14717586,1980,Mouse78745,1.0,040623
0.09509113,0.1485551,2040,Mouse78745,1.0,040623
0.094525866,0.15711695,2100,Mouse78745,1.0,040623
0.10381434,0.14584027,2160,Mouse78745,1.0,040623
0.096868925,0.14668511,2220,Mouse78745,1.0,040623
0.09599771,0.14971733,2280,Mouse78745,1.0,040623
0.094123274,0.14755486,2340,Mouse78745,1.0,040623
0.09781538,0.14823347,2400,Mouse78745,1.0,040623
0.09589687,0.1429727,2460,Mouse78745,1.0,040623
0.09099271,0.14743242,2520,Mouse78745,1.0,040623
0.09479613,0.14209713,2580,Mouse78745,1.0,040623
0.09635257,0.15477699,2640,Mouse78745,1.0,040623
0.10087184,0.15519863,2700,Mouse78745,1.0,040623
0.09460762,0.14645377,2760,Mouse78745,1.0,040623
0.094605975,0.14154282,2820,Mouse78745,1.0,040623
0.09550892,0.14528683,2880,Mouse78745,1.0,040623
0.09582821,0.14106813,2940,Mouse78745,1.0,040623
0.09152727,0.1370135,3000,Mouse78745,1.0,040623
0.096103325,0.14923096,3060,Mouse78745,1.0,040623
0.09941433,0.14839117,3120,Mouse78745,1.0,040623
0.09379214,0.13981868,3180,Mouse78745,1.0,040623
0.10270898,0.14099318,3240,Mouse78745,1.0,040623
0.09727656,0.15002617,3300,Mouse78745,1.0,040623
0.09635194,0.13927571,3360,Mouse78745,1.0,040623
0.09358389,0.1427824,3420,Mouse78745,1.0,040623
0.0931078,0.13386053,3480,Mouse78745,1.0,040623
