,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
1023,Tone 7,Mouse9065,13,group 2,0.03719724342226982,0.07571283727884293,0.040060024708509445,1.655724287033081
1024,Tone 7,Mouse9065,14,group 2,0.02381340228021145,0.09383513033390045,0.09496699273586273,1.8665227890014648
1025,Tone 7,Mouse9065,15,group 2,0.01986509934067726,0.08561287820339203,0.051542289555072784,1.6593397855758667
1026,Tone 7,Mouse9065,16,group 2,0.038193777203559875,0.05954289808869362,0.08260984718799591,1.4266557693481445
1027,Tone 7,Mouse9065,17,group 2,0.030677804723381996,0.08893987536430359,0.07804766297340393,1.8398946523666382
1028,Tone 7,Mouse9065,18,group 2,0.02349291555583477,0.07087579369544983,0.0920247882604599,1.4784389734268188
1029,Tone 7,Mouse9065,19,group 2,0.04056775942444801,0.07336484640836716,0.08510234951972961,1.682173728942871
1030,Tone 7,Mouse9065,20,group 2,0.03348694369196892,0.09477439522743225,0.06706809252500534,1.956748604774475
1031,Tone 7,Mouse9065,21,group 2,0.02634022757411003,0.05802084878087044,0.0436621829867363,1.2569998502731323
1032,Tone 7,Mouse9065,22,group 2,0.04948683828115463,0.07031190395355225,0.011629152111709118,1.6654741764068604
1033,Tone 7,Mouse9065,23,group 2,0.034897059202194214,0.08333881944417953,0.03538043424487114,1.756962537765503
1034,Tone 7,Mouse9065,24,group 2,0.03587408736348152,0.1349359154701233,0.11196322739124298,2.682249069213867
1035,Tone 7,Mouse9065,25,group 2,0.040458615869283676,0.12512224912643433,0.11822789162397385,2.5680551528930664
1036,Tone 7,Mouse9065,26,group 2,0.05735700577497482,0.11497369408607483,0.05044521018862724,2.515316963195801
1037,Tone 7,Mouse9065,27,group 2,0.05754004418849945,0.11339841037988663,0.06782715022563934,2.5034189224243164
1038,Tone 7,Mouse9065,28,group 2,0.047571949660778046,0.11131217330694199,0.08898135274648666,2.3863041400909424
1039,Tone 7,Mouse9065,29,group 2,0.05356290563941002,0.15204282104969025,0.06319799274206161,3.105459451675415
1040,Tone 7,Mouse9065,30,group 2,0.04710433632135391,0.126250758767128,0.07879228889942169,2.623433828353882
1041,Tone 7,Mouse9065,31,group 2,0.027739141136407852,0.06222623214125633,0.07997296750545502,1.367090106010437
1042,Tone 7,Mouse9065,32,group 2,0.04346509650349617,0.06902313977479935,0.054554689675569534,1.6160600185394287
1043,Tone 7,Mouse9065,33,group 2,0.05769248306751251,0.15988363325595856,0.07364188134670258,3.2841978073120117
1044,Tone 7,Mouse9065,34,group 2,0.03296847641468048,0.08188819885253906,0.03016321361064911,1.7101112604141235
1045,Tone 7,Mouse9065,35,group 2,0.021451709792017937,0.030758410692214966,0.08845367282629013,0.7869586944580078
1046,Tone 7,Mouse9065,36,group 2,0.0172183308750391,0.07445355504751205,0.102900929749012,1.4845046997070312
1047,Tone 7,Mouse9065,37,group 2,0.050559550523757935,0.06518816202878952,0.0790707990527153,1.6393405199050903
1048,Tone 7,Mouse9065,38,group 2,0.06940765678882599,0.19296711683273315,0.08316684514284134,3.9574570655822754
1049,Tone 7,Mouse9065,39,group 2,0.06768409162759781,0.1237247958779335,0.08615215867757797,2.7882118225097656
1050,Tone 7,Mouse9071,-10,group 1,0.10242170095443726,0.21388569474220276,0.02243015542626381,4.585665702819824
1051,Tone 7,Mouse9071,-9,group 1,0.11794637888669968,0.24919666349887848,0.04653603211045265,5.343926429748535
1052,Tone 7,Mouse9071,-8,group 1,0.10961586236953735,0.22817344963550568,0.04181287810206413,4.90838098526001
1053,Tone 7,Mouse9071,-7,group 1,0.1272437572479248,0.24514268338680267,0.0338396355509758,5.35821008682251
1054,Tone 7,Mouse9071,-6,group 1,0.06078293174505234,0.1089363619685173,0.049612004309892654,2.4476048946380615
1055,Tone 7,Mouse9071,-5,group 1,0.12682436406612396,0.17988835275173187,0.05692673474550247,4.282776355743408
1056,Tone 7,Mouse9071,-4,group 1,0.09486480802297592,0.1325443983078003,0.00892188586294651,3.1456186771392822
1057,Tone 7,Mouse9071,-3,group 1,,,,
1058,Tone 7,Mouse9071,-2,group 1,0.12112274020910263,0.21552129089832306,0.041294459253549576,4.80975341796875
1059,Tone 7,Mouse9071,-1,group 1,0.08081764727830887,0.11624889820814133,0.03935246169567108,2.7583415508270264
1060,Tone 7,Mouse9071,0,group 1,0.1016169935464859,0.153951495885849,0.03575007617473602,3.588097333908081
1061,Tone 7,Mouse9071,1,group 1,0.10875662416219711,0.17054447531700134,0.056899771094322205,3.949993848800659
1062,Tone 7,Mouse9071,2,group 1,0.09313630312681198,0.11423880606889725,0.02490713819861412,2.835031747817993
1063,Tone 7,Mouse9071,3,group 1,0.08468379080295563,0.15133902430534363,0.03304872289299965,3.3767294883728027
1064,Tone 7,Mouse9071,4,group 1,0.09045403450727463,0.09620186686515808,0.005456010345369577,2.493946075439453
1065,Tone 7,Mouse9071,5,group 1,0.10616384446620941,0.15562914311885834,0.025126013904809952,3.6529181003570557
1066,Tone 7,Mouse9071,6,group 1,0.11349012702703476,0.09681820124387741,0.023767193779349327,2.7430992126464844
1067,Tone 7,Mouse9071,7,group 1,0.06296076625585556,0.11295273900032043,0.02232876606285572,2.5161654949188232
1068,Tone 7,Mouse9071,8,group 1,0.10892930626869202,0.1216542199254036,0.05942165106534958,3.1383299827575684
1069,Tone 7,Mouse9071,9,group 1,0.088498555123806,0.14726275205612183,0.06742595881223679,3.370997667312622
1070,Tone 7,Mouse9071,10,group 1,0.11562357097864151,0.1534818410873413,0.05920415744185448,3.7344231605529785
1071,Tone 7,Mouse9071,11,group 1,,,,
1072,Tone 7,Mouse9071,12,group 1,0.1515662670135498,0.15824107825756073,0.019630512222647667,4.1371917724609375
1073,Tone 7,Mouse9071,13,group 1,0.08928464353084564,0.10414819419384003,0.01601141318678856,2.6226232051849365
1074,Tone 7,Mouse9071,14,group 1,0.1209736242890358,0.21503086388111115,0.008561589755117893,4.776435375213623
1075,Tone 7,Mouse9071,15,group 1,0.09408733248710632,0.16628342866897583,0.009805654175579548,3.7011961936950684
1076,Tone 7,Mouse9071,16,group 1,0.107951320707798,0.14312541484832764,0.008263979107141495,3.4497439861297607
1077,Tone 7,Mouse9071,17,group 1,0.12071578204631805,0.10872109979391098,0.08683279156684875,3.057961940765381
1078,Tone 7,Mouse9071,18,group 1,0.0819680392742157,0.11342262476682663,0.03659462556242943,2.720489740371704
1079,Tone 7,Mouse9071,19,group 1,0.12860938906669617,0.16168905794620514,0.02228665165603161,3.971750259399414
1080,Tone 7,Mouse9071,20,group 1,0.09156102687120438,0.15230204164981842,0.055288854986429214,3.47623610496521
