,mouse,expDate,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
112,Mouse5332,060216,3.44712495803833,0.09320487827062607,0.14989599585533142,0.048247117549180984,3.209242820739746,0.08671007305383682,0.13942627608776093,0.0486624613404274
113,Mouse5332,060716,3.4637906551361084,0.08989911526441574,0.1530965119600296,0.04227565601468086,3.5658011436462402,0.09485718607902527,0.1563650667667389,0.040823373943567276
114,Mouse5332,061416,4.206830024719238,0.09172528237104416,0.1967291682958603,0.03900863230228424,4.38056755065918,0.10034489631652832,0.20239883661270142,0.031789425760507584
115,Mouse5332,061616,4.306152820587158,0.09431292116641998,0.20113086700439453,0.039817798882722855,4.085897445678711,0.0880974605679512,0.19147460162639618,0.042068254202604294
116,Mouse5332,070516,3.5810372829437256,0.09558110684156418,0.15639470517635345,0.05139996483922005,3.714423894882202,0.10093595087528229,0.1612595021724701,0.05115683749318123
117,Mouse5332,070716,4.4387311935424805,0.07729294151067734,0.21759465336799622,0.07405655086040497,4.125925064086914,0.07804695516824722,0.19796358048915863,0.08391330391168594
118,Mouse5333,052416,2.838168144226074,0.08155997097492218,0.1212218627333641,0.025030096992850304,2.9996697902679443,0.08589141815900803,0.1284410059452057,0.023243160918354988
119,Mouse5333,052616,3.711042642593384,0.09026888757944107,0.1681986153125763,0.030972952023148537,3.863388776779175,0.09940578788518906,0.1720806211233139,0.028383398428559303
120,Mouse5333,060216,3.604058265686035,0.0957544818520546,0.1586010605096817,0.03002237342298031,3.720731258392334,0.10256048291921616,0.16158917546272278,0.03028281219303608
121,Mouse5333,060716,3.9540181159973145,0.08824615925550461,0.18428638577461243,0.02343304455280304,3.936122417449951,0.09205257892608643,0.18091386556625366,0.0248898733407259
122,Mouse5333,060916,3.2675931453704834,0.05984098091721535,0.15978635847568512,0.0238441601395607,3.0518109798431396,0.059040848165750504,0.14730216562747955,0.024136679247021675
123,Mouse5333,061416,4.998311519622803,0.0868425965309143,0.24734491109848022,0.03258882090449333,5.065110206604004,0.09315464645624161,0.24793100357055664,0.0259571373462677
