scores,y_mouse,y_expDate,y_time,y_flx
17.674236,Mouse99003,072321,3006,1
8.135932,Mouse99003,072321,3007,1
4.187736,Mouse99003,072321,3008,1
11.342131,Mouse99003,072321,3009,1
12.04289,Mouse99003,072321,3010,1
12.484832,Mouse99003,072321,3011,1
7.4268875,Mouse99003,072321,3012,1
8.3808155,Mouse99003,072321,3013,1
6.9935746,Mouse99003,072321,3014,1
10.809822,Mouse99003,072321,3015,1
10.395727,Mouse99003,072321,3016,1
11.614535,Mouse99003,072321,3019,1
10.377348,Mouse99003,072321,3020,1
4.2764263,Mouse99003,072321,3021,1
6.931915,Mouse99003,072321,3022,1
7.0142775,Mouse99003,072321,3023,1
7.301772,Mouse99003,072321,3024,1
17.309671,Mouse99003,072321,3025,1
7.852187,Mouse99003,072321,3026,1
11.544747,Mouse99003,072321,3027,1
8.829495,Mouse99003,072321,3028,1
8.281346,Mouse99003,072321,3029,1
10.013405,Mouse99003,072321,3030,1
13.398044,Mouse99003,072321,3031,1
8.915461,Mouse99003,072321,3032,1
10.517964,Mouse99003,072321,3033,1
9.382264,Mouse99003,072321,3034,1
7.1064906,Mouse99003,072321,3035,1
8.813049,Mouse99003,072321,3036,1
9.989837,Mouse99003,072321,3037,1
8.426452,Mouse99003,072321,3038,1
14.1460085,Mouse99003,072321,3039,1
10.205316,Mouse99003,072321,3040,1
10.5766115,Mouse99003,072321,3041,1
7.43981,Mouse99003,072321,3042,1
10.07281,Mouse99003,072321,3043,1
7.32551,Mouse99003,072321,3044,1
6.3918953,Mouse99003,072321,3045,1
12.282421,Mouse99003,072321,3046,1
5.9638515,Mouse99003,072321,3047,1
10.84715,Mouse99003,072321,3048,1
9.539914,Mouse99003,072321,3049,1
8.374164,Mouse99003,072321,3050,1
13.680447,Mouse99003,072321,3051,1
11.176909,Mouse99003,072321,3052,1
7.5900354,Mouse99003,072321,3053,1
9.581533,Mouse99003,072321,3054,1
5.3832884,Mouse99003,072321,3055,1
12.849148,Mouse99003,072321,3056,1
12.054687,Mouse99003,072321,3057,1
10.944496,Mouse99003,072321,3058,1
9.270662,Mouse99003,072321,3059,1
11.777741,Mouse99003,072321,3060,1
8.035703,Mouse99003,072321,3061,1
8.199199,Mouse99003,072321,3062,1
7.9329195,Mouse99003,072321,3063,1
10.4272785,Mouse99003,072321,3064,1
9.141915,Mouse99003,072321,3065,1
11.492649,Mouse99003,072321,3066,1
8.971603,Mouse99003,072321,3067,1
17.686924,Mouse99003,072321,3068,1
4.6059375,Mouse99003,072321,3069,1
11.96931,Mouse99003,072321,3070,1
10.014466,Mouse99003,072321,3071,1
13.59615,Mouse99003,072321,3072,1
11.861734,Mouse99003,072321,3073,1
11.438761,Mouse99003,072321,3074,1
